FLASH_WHITE0_BLACK0	Colors	DInt	0	
FLASH_WHITE0_BLACK1	Colors	DInt	1	
FLASH_WHITE0_BLACK2	Colors	DInt	2	
FLASH_WHITE1_BLACK0	Colors	DInt	3	
FLASH_WHITE1_BLACK1	Colors	DInt	4	
FLASH_WHITE1_BLACK2	Colors	DInt	5	
FLASH_WHITE2_BLACK0	Colors	DInt	6	
FLASH_WHITE2_BLACK1	Colors	DInt	7	
FLASH_WHITE2_BLACK2	Colors	DInt	8	
WHITE0_BLACK0	Colors	DInt	9	
WHITE0_BLACK1	Colors	DInt	10	
WHITE0_BLACK2	Colors	DInt	11	
WHITE1_BLACK0	Colors	DInt	12	
WHITE1_BLACK1	Colors	DInt	13	
WHITE1_BLACK2	Colors	DInt	14	
WHITE2_BLACK0	Colors	DInt	15	
WHITE2_BLACK1	Colors	DInt	16	
WHITE2_BLACK2	Colors	DInt	17	
FLASH_WHITE0_RED0	Colors	DInt	18	
FLASH_WHITE0_RED1	Colors	DInt	19	
FLASH_WHITE0_RED2	Colors	DInt	20	
FLASH_WHITE1_RED0	Colors	DInt	21	
FLASH_WHITE1_RED1	Colors	DInt	22	
FLASH_WHITE1_RED2	Colors	DInt	23	
FLASH_WHITE2_RED0	Colors	DInt	24	
FLASH_WHITE2_RED1	Colors	DInt	25	
FLASH_WHITE2_RED2	Colors	DInt	26	
WHITE0_RED0	Colors	DInt	27	
WHITE0_RED1	Colors	DInt	28	
WHITE0_RED2	Colors	DInt	29	
WHITE1_RED0	Colors	DInt	30	
WHITE1_RED1	Colors	DInt	31	
WHITE1_RED2	Colors	DInt	32	
WHITE2_RED0	Colors	DInt	33	
WHITE2_RED1	Colors	DInt	34	
WHITE2_RED2	Colors	DInt	35	
FLASH_WHITE0_YELLOW0	Colors	DInt	36	
FLASH_WHITE0_YELLOW1	Colors	DInt	37	
FLASH_WHITE0_YELLOW2	Colors	DInt	38	
FLASH_WHITE1_YELLOW0	Colors	DInt	39	
FLASH_WHITE1_YELLOW1	Colors	DInt	40	
FLASH_WHITE1_YELLOW2	Colors	DInt	41	
FLASH_WHITE2_YELLOW0	Colors	DInt	42	
FLASH_WHITE2_YELLOW1	Colors	DInt	43	
FLASH_WHITE2_YELLOW2	Colors	DInt	44	
WHITE0_YELLOW0	Colors	DInt	45	
WHITE0_YELLOW1	Colors	DInt	46	
WHITE0_YELLOW2	Colors	DInt	47	
WHITE1_YELLOW0	Colors	DInt	48	
WHITE1_YELLOW1	Colors	DInt	49	
WHITE1_YELLOW2	Colors	DInt	50	
WHITE2_YELLOW0	Colors	DInt	51	
WHITE2_YELLOW1	Colors	DInt	52	
WHITE2_YELLOW2	Colors	DInt	53	
FLASH_WHITE0_GREEN0	Colors	DInt	54	
FLASH_WHITE0_GREEN1	Colors	DInt	55	
FLASH_WHITE0_GREEN2	Colors	DInt	56	
FLASH_WHITE1_GREEN0	Colors	DInt	57	
FLASH_WHITE1_GREEN1	Colors	DInt	58	
FLASH_WHITE1_GREEN2	Colors	DInt	59	
FLASH_WHITE2_GREEN0	Colors	DInt	60	
FLASH_WHITE2_GREEN1	Colors	DInt	61	
FLASH_WHITE2_GREEN2	Colors	DInt	62	
WHITE0_GREEN0	Colors	DInt	63	
WHITE0_GREEN1	Colors	DInt	64	
WHITE0_GREEN2	Colors	DInt	65	
WHITE1_GREEN0	Colors	DInt	66	
WHITE1_GREEN1	Colors	DInt	67	
WHITE1_GREEN2	Colors	DInt	68	
WHITE2_GREEN0	Colors	DInt	69	
WHITE2_GREEN1	Colors	DInt	70	
WHITE2_GREEN2	Colors	DInt	71	
FLASH_WHITE0_TEAL0	Colors	DInt	72	
FLASH_WHITE0_TEAL1	Colors	DInt	73	
FLASH_WHITE0_TEAL2	Colors	DInt	74	
FLASH_WHITE1_TEAL0	Colors	DInt	75	
FLASH_WHITE1_TEAL1	Colors	DInt	76	
FLASH_WHITE1_TEAL2	Colors	DInt	77	
FLASH_WHITE2_TEAL0	Colors	DInt	78	
FLASH_WHITE2_TEAL1	Colors	DInt	79	
FLASH_WHITE2_TEAL2	Colors	DInt	80	
WHITE0_TEAL0	Colors	DInt	81	
WHITE0_TEAL1	Colors	DInt	82	
WHITE0_TEAL2	Colors	DInt	83	
WHITE1_TEAL0	Colors	DInt	84	
WHITE1_TEAL1	Colors	DInt	85	
WHITE1_TEAL2	Colors	DInt	86	
WHITE2_TEAL0	Colors	DInt	87	
WHITE2_TEAL1	Colors	DInt	88	
WHITE2_TEAL2	Colors	DInt	89	
FLASH_WHITE0_BLUE0	Colors	DInt	90	
