0	0;0;0	116;116;0	True
1	0;0;0	132;132;0	True
2	0;0;0	148;148;0	True
3	0;0;0	164;164;0	True
4	0;0;0	180;180;0	True
5	0;0;0	196;196;0	True
6	0;0;0	212;212;0	True
7	0;0;0	228;228;0	True
8	0;0;0	244;244;0	True
9	0;0;0	255;255;0	True
10	0;0;0	116;116;0	False
11	0;0;0	132;132;0	False
12	0;0;0	148;148;0	False
13	0;0;0	164;164;0	False
14	0;0;0	180;180;0	False
15	0;0;0	196;196;0	False
16	0;0;0	212;212;0	False
17	0;0;0	228;228;0	False
18	0;0;0	244;244;0	False
19	0;0;0	255;255;0	False
20	116;116;0	0;0;0	False
21	132;132;0	0;0;0	False
22	148;148;0	0;0;0	False
23	164;164;0	0;0;0	False
24	180;180;0	0;0;0	False
25	196;196;0	0;0;0	False
26	212;212;0	0;0;0	False
27	228;228;0	0;0;0	False
28	244;244;0	0;0;0	False
29	255;255;0	0;0;0	False
